meningeal neoplasms	ML	klf4
lupus erythematosus systemic	ML	tlr4
ppm1a	GG	prkcb
gstk1	GG	sult2a1
sod2	Q	nox4
flt3	GG	pdgfrb
gadodiamide	T	meningeal neoplasms
alk	Ra	hnf1a
dpp4	Q	cd38
mcph1	E	angpt2
runx2	Ra	mmp13
socs3	Q	tlr4
cilp	Rg	smad3
brd2	GG	actc1
nck1	GG	was
tp53	U	urologic neoplasms
fmo3	B	nr1h4
gapdh	GG	grm1
csnk1e	GG	prkca
gna12	I	f2r
modafinil	Sa	chorea
chrna2	Ra	scn2a
csf2	E	raf1
pilocarpine	E	cat
spp1	E	cd40
fgf2	GG	thbs1
il2	U	leukemia myeloid
fgf9	Q	kit
nephritis	ML	bsg
remifentanil	T	pain
paclitaxel	T	kidney diseases
colitis	ML	tnfrsf1b
rheb	Ra	raf1
gas6	U	cerebrovascular disorders
intestinal neoplasms	ML	ggh
fluoxetine	T	myotonic dystrophy
gdnf	Rg	gdnf
fluoxetine	CC	linezolid
vincristine	T	uterine diseases
card9	P	inflammation
tyk2	Q	jak1
il18	P	orthomyxoviridae infections
rnpep	D	thyroid neoplasms
lamp2	GG	tnf
ntrk1	B	dok5
cd9	GG	cd36
adra1d	GG	sstr4
csf2	Q	areg
stat5b	GG	socs3
cdkn1a	Rg	cdkn2a
lisdexamfetamine	CC	fencamfamine
tolvaptan	T	aortic valve stenosis
pml	GG	tgfbr1
ugt2a1	GG	hsd17b8
dexmedetomidine	Pr	consciousness disorders
mdm2	B	map4k4
vegfa	P	heart diseases
ptgs1	I	bromfenac
cyanocobalamin	T	deficiency diseases
adenoma	ML	cacna1d
dapsone	T	vasculitis central nervous system
cnga3	GG	pde6c
klrk1	GG	cd37
arthritis rheumatoid	ML	dpp4
tramadol	T	respiratory tract neoplasms
cga	P	heart defects congenital
alosetron	CC	boceprevir
anorexia nervosa	X	bdnf
deferasirox	Sa	renal insufficiency
ccnd1	Q	fcer2
trimethadione	Pr	congenital abnormalities
ethanol	E	sod2
ketamine	Pr	poisoning
neoplasms	ML	pik3c2b
cd70	Q	cd19
hmmr	Rg	akt1
propofol	Sa	urination disorders
isoflurane	T	arteriosclerosis
htr2c	Ra	maoa
melanoma	X	mme
dipyridamole	T	infarction
csnk1g2	GG	epha3
stat4	D	liver cirrhosis biliary
bosutinib	CC	lomitapide
cxcr3	Ra	akt1
epo	E	cst3
pnmt	Rg	pnmt
il2	B	il15ra
pik3ca	Ra	tlr5
ctsb	P	arthritis rheumatoid
neoplasms squamous cell	ML	muc5b
dpp8	Ra	bbs4
atr	E	tff2
acetylsalicylic acid	N	pepd
pten	Ra	map2k2
carcinoma	ML	ctsd
propofol	T	myasthenia gravis
pax3	Ra	mc1r
shc1	Ra	kdr
cd40lg	Rg	selplg
folr1	Ra	stxbp1
medroxyprogesterone acetate	CC	deferasirox
atracurium	CC	flunarizine
hdac6	Ra	nlrp3
il4	B	ctf1
urologic neoplasms	ML	gli2
il10	Rg	card9
cyclizine	T	heart failure
pentobarbital	Sa	pain
dbh	E	vwf
lrpprc	GG	uqcrfs1
bmp2	B	mapk8
carbachol	Sa	depression
abcc1	D	pulmonary disease chronic obstructive
nelfinavir	CC	vindesine
hla dpb1	GG	pdcd1
acadm	GG	aldh7a1
il3	Ra	rps17
zidovudine	Sa	abdominal pain
ganab	GG	alg13
neoplasm metastasis	ML	aldh2
ctgf	E	fn1
efemp1	GG	sdf2
tirofiban	T	cerebrovascular disorders
furosemide	T	renal insufficiency
hnf1a	Ra	aqp9
neoplasms neuroepithelial	ML	ifih1
morphine	T	gastrointestinal neoplasms
nystatin	Sa	drug eruptions
pancreatic neoplasms	ML	dusp1
hla e	D	hepatitis b
samhd1	Q	irf3
hdac2	P	neoplasms
tp53	Rg	smarce1
ctla4	Rg	tnfrsf1a
tramadol	CC	molindone
vcam1	K	atorvastatin
cdh1	E	vcl
wrn	E	pparg
pcna	B	cyp2e1
tesk1	GG	spry4
eln	P	hyperthyroidism
intracranial hemorrhages	X	lep
inpp5d	Rg	tec
bronchiectasis	ML	calca
lrpprc	GG	bcs1l
tp53	Ra	pdgfra
ccl2	Q	tlr4
gastrointestinal neoplasms	ML	fktn
nlrp3	E	gnrh1
lsm6	GG	exosc8
grb2	GG	irf5
cdkn2a	E	cxcl12
psma4	GG	psma6
dpp4	GG	pyy
dexamethasone	N	clec7a
mnx1	Q	ncam1
phentolamine	T	hypothermia
itgb1	Q	selp
cefoxitin	Sa	drug toxicity
colistin	Sa	kidney diseases
tnfaip6	E	casp3
amphotericin b	T	neoplasms
csnk2a2	GG	fyn
ceftriaxone	Sa	anemia hemolytic
nfkb1	Rg	kiss1
sulpiride	CC	escitalopram
ldlr	P	intestinal neoplasms
pck2	Ra	nr2f2
flutamide	T	kidney diseases
mpz	U	charcot marie tooth disease
urologic neoplasms	ML	aldh1a1
sp1	Iw	pc
dexamethasone	T	conjunctivitis
epha5	Ra	flt1
ttn	U	atrophy
nr1h4	P	erectile dysfunction
artemether	C	gastrointestinal neoplasms
acacb	GG	foxp3
lep	P	cerebrovascular disorders
amitriptyline	T	pain postoperative
entpd1	E	gata3
cd2	Ra	ptprc
apc	Ra	tp53
dopamine	N	akt1
scarb1	Ra	mmp1
lgals1	P	lymphoma non hodgkin
rac1	Q	ca1
meningioma	ML	smad1
scn5a	Ra	cacnb2
proteinuria	ML	adam17
lamc3	Ra	mecp2
milrinone	T	infarction
ifenprodil	T	cerebrovascular disorders
osteoarthritis	X	il6
cdk6	GG	prx
epstein barr virus infections	ML	cdkn2a
cd14	P	respiratory tract infections
cd55	Ra	cd46
chuk	GG	rps6kb1
myb	P	myelodysplastic syndromes
potassium chloride	CC	perphenazine
lithium	T	respiratory tract neoplasms
myl2	GG	myl3
adra2c	I	norepinephrine
il17ra	GG	il25
il10	Q	cd40lg
erbb4	Rg	ercc1
intestinal neoplasms	ML	cdk8
fyn	GG	actn1
pten	U	kidney diseases
tp53	Rg	fbn1
vcam1	Q	dsc3
agrn	U	muscular atrophy
perphenazine	T	arrhythmias cardiac
cyp4f2	U	stroke
mecp2	B	hdac3
psmb5	Q	pura
ezh2	Ra	cebpa
bortezomib	E	erbb2
smarcb1	Q	tfe3
vars	GG	slc44a4
camp	E	tshr
ttk	GG	cdh1
nf2	Ra	ss18
urologic neoplasms	ML	epas1
carcinoma	ML	snai2
ercc2	Ra	nr3c1
bendroflumethiazide	CC	brimonidine
lamotrigine	T	dementia
smo	U	neoplasms
erbb3	GG	pik3cg
kdr	Q	aplnr
vcam1	GG	pla2g7
dexamethasone	Sa	headache disorders
pla2g4b	GG	ddhd2
mcat	E	acta2
tnf	E	clcf1
tnfrsf12a	P	respiratory hypersensitivity
flutamide	T	genital neoplasms female
hck	Rg	lck
egfr	E	ptk6
moexipril	T	bone diseases metabolic
droperidol	T	nausea
chd7	B	fgfr1
ak1	E	ca2
tnf	E	ucp2
dpagt1	GG	alg9
gstt2	Ra	esr1
crabp2	GG	pdk2
nlrp3	E	pink1
dlx5	Ra	runx2
atxn3	Rg	gfap
hnrnpa1	B	dnajb6
fabp4	U	adnexal diseases
avpr1b	B	ca2
fosl1	Rg	fosl2
vegfa	E	vwf
timolol	CC	chlorpropamide
prkcd	Q	nr3c1
tenoxicam	T	spondylitis ankylosing
clonidine	T	inflammation
mif	E	il18
urologic neoplasms	ML	rarres1
irf1	Q	cish
adipoq	E	il6
famotidine	I	slc22a2
sp1	Rg	comp
drd5	GG	htr1e
mmp3	Ra	mthfr
amh	Ra	tf
ar	Ra	tbp
jak2	GG	nos2
il6	P	coronary disease
pomc	Q	pomc
ivermectin	T	folliculitis
hmox1	Q	cybb
rizatriptan	CC	droxidopa
ucp2	Q	pparg
nifedipine	N	pomc
nilutamide	I	por
vcam1	P	ischemia
nme2	Q	cdkn2a
gastrointestinal neoplasms	ML	ctsb
esr1	Rg	traf3
cefdinir	T	urethral diseases
aqp5	Q	aqp3
prkacb	Rg	plcb4
erythromycin	T	fibrosis
erbb2	B	epha2
hba2	U	thalassemia
mkl1	B	mmp9
tamoxifen	N	aldh1a1
col1a1	Q	igf1
adipoq	E	mif
il18	E	crp
actn4	Iw	gc
gstm4	GG	akr7a2
prazosin	T	cardiomegaly
tnf	P	myopia
gabrb3	Ra	ndn
ccl2	Ra	cfhr1
chlordiazepoxide	CC	paroxetine
tgfb1	U	intestinal neoplasms
prdx4	Rg	il1b
tolmetin	Sa	nephrosis
verapamil	CC	terazosin
csf3	E	icam1
probenecid	I	slc22a11
gatm	GG	arg1
src	E	hgf
cysltr1	P	kidney neoplasms
osm	B	csf3
akr1c2	GG	abcb1
hesx1	P	hypotrichosis
ccr5	U	graft vs host disease
esrrg	GG	ppard
preterm premature rupture of the membranes	ML	edn1
akt1	B	ptpn12
comp	GG	dmp1
intestinal neoplasms	ML	atr
gastrointestinal neoplasms	ML	pik3ca
methadone	CC	moclobemide
pax6	B	vsx1
genital neoplasms female	ML	ucp2
vincristine	Sa	infarction
il6	E	ptger3
cdh2	Q	twist1
egfr	Ra	cdk2
nfkb1	B	atm
itgav	Q	itga6
adamts5	E	il17a
xrcc1	U	respiratory tract neoplasms
ndufs7	GG	kiaa0391
rarb	Q	mmp12
pioglitazone	Pr	arthritis rheumatoid
stt3a	Q	stt3a
maoa	P	alcoholism
irbesartan	CC	l dopa
thrb	U	periodontitis
nkx2 1	Q	pten
risedronate	Sa	ulcer
ddx11	GG	aurkc
slc19a3	O	thiamine
isg15	P	infections
dld	GG	agxt
cyclobenzaprine	CC	orphenadrine
midazolam	C	neoplasms neuroepithelial
melatonin	E	irs2
vinorelbine	T	neoplasms neuroepithelial
ctsb	Ra	mmp13
atf3	P	non alcoholic fatty liver disease
ercc6	Rg	ercc6
itraconazole	T	kidney diseases
gsk3b	GG	mapk1
il5	U	bronchial hyperreactivity
fosinopril	CC	tranylcypromine
vegfa	Te	pain
zeb1	Ra	gata3
alprazolam	Sa	major affective disorder 7
l carnitine	E	crat
serpinf2	E	serpinf2
dgka	GG	itpr3
salicylic acid	T	psoriasis
hif1a	Rg	hdac2
shbg	Ra	igf1
desogestrel	CC	phenindione
rgs2	Rg	gnaq
kars	GG	pex1
temazepam	CC	azelastine
fludarabine	T	liver neoplasms
il10	P	drug eruptions
il17a	Rg	tnfrsf11b
cisplatin	Sa	hemorrhage
vitamin e	T	infarction
breast neoplasms	ML	cd24
fluvastatin	I	ugt1a1
pcyt1a	Ra	pth
pvt1	Ra	pvt1
abcc2	GG	slco1b3
gabapentin	T	radiculopathy
hspa5	Rg	ocln
pregabalin	CC	mirtazapine
ccl5	P	infarction
dexamethasone	T	genital neoplasms female
dihydroergotamine	T	hematoma
mexiletine	CC	vemurafenib
loxapine	CC	metoclopramide
sulfadiazine	CC	ospemifene
adam17	Rg	tlr4
abcb7	Q	clu
atp5e	Ra	tmem70
cbs	Rg	mthfr
triamterene	CC	brimonidine
sirt3	B	ppargc1a
atorvastatin	E	cyp7a1
amhr2	Rg	akt1
cbs	Ra	sp1
ifosfamide	CC	acenocoumarol
lpl	GG	cidec
erbb4	E	acly
prph	E	il6
pdcd1	P	respiratory tract neoplasms
baclofen	CC	mirtazapine
tgfbr1	GG	cd3e
eef2	GG	eif4e
ouabain	E	slc9a3
nphs1	U	leukopenia
nr3c2	GG	nr4a3
benazepril	CC	sitagliptin
fgf17	Ra	spp1
phentermine	CC	diclofenamide
cyp2e1	I	idarubicin
tnfsf10	Rg	faslg
rab5a	E	ctsd
irf4	GG	irf5
csf2rb	GG	raf1
aph1a	GG	hdac9
lamp2	U	cardiomyopathy hypertrophic
deferasirox	CC	difluprednate
temozolomide	E	ifna2
lymphoma	ML	fut4
birc5	Q	jun
paroxetine	CC	sertindole
gyg1	GG	si
cd1a	Q	cxcr4
hapln1	Rg	col10a1
celecoxib	E	gsr
ndufb3	GG	atp5a1
cyp11a1	Ra	idi1
lias	GG	cox5b
mmp1	Rg	tgfb1
hmgb1	B	snca
tpp1	GG	acp2
casp1	Q	ctss
neoplasms	ML	lama3
coasy	GG	bag3
acetazolamide	T	arteriosclerosis
tamibarotene	I	rara
pomc	P	inflammation
ptch1	P	melanoma
cdk6	B	il21
trpm8	K	ethanol
lipe	Q	lpl
slc1a1	GG	slc38a1
piga	Q	smad3
ndufs1	GG	atp5c1
cdk2	Ra	mapk1
sildenafil	T	alzheimer disease
pomc	Te	ectodermal dysplasia
ifnb1	Ra	tbk1
kidney neoplasms	ML	cd34
epo	P	edema
ugt1a8	Ra	ugt1a4
fabp1	Rg	il18
ropinirole	T	dyskinesias
pimecrolimus	CC	hydroxyurea
aicda	Rg	crhr1
dapsone	T	liver diseases
acetylsalicylic acid	T	death
mitoxantrone	CC	docetaxel
card14	E	card9
nos2	Ra	cd40
psmb5	GG	psmb8
rps6ka3	Te	mental retardation x linked
sulfamethoxazole	CC	sparfloxacin
fos	B	htr1b
ndufa6	GG	bcs1l
ischemia	ML	ang
sdha	P	mitochondrial diseases
ndufb1	GG	ndufv2
tizanidine	CC	hydrocodone
il4	P	major affective disorder 7
trihexyphenidyl	Pr	dyskinesias
hsd17b7	Ra	cyp1b1
ca10	GG	ca3
cp	Iw	brain damage chronic
ar	Ra	nr1i2
nitric oxide	T	death
s100a12	GG	s100a13
bcl2l1	E	birc5
bupropion	T	hypoactive sexual desire dysfunction
six1	B	ski
pparg	Ra	faslg
oxaliplatin	Pr	neoplasm metastasis
xrcc1	Te	pulmonary disease chronic obstructive
pin1	P	stroke
tranylcypromine	CC	granisetron
folr1	P	carcinoma bronchogenic
cyclobenzaprine	CC	minocycline
sp1	B	cdk2
neoplasms neuroepithelial	ML	pfkfb3
thbs2	E	vegfa
trimethoprim	CC	enalapril
formestane	T	breast neoplasms
htr1d	Q	htr1b
diazoxide	T	arteriosclerosis
nelfinavir	CC	benzphetamine
cd81	Rg	cd81
rac1	Q	stk4
neurofibromatoses	Iw	meningioma
rasagiline	T	ischemia
bmp2	Q	esr1
doxepin	I	htr2a
glutathione	T	hypertension
hnrnpa1	GG	rpl23a
olmesartan	T	myotonic dystrophy
ctgf	Rg	pdgfrb
ins	Iw	fh
celecoxib	T	spondylitis ankylosing
paics	GG	chek1
tgfb1	Ra	stk11
csf1	P	liver diseases
sirt1	P	diabetes mellitus
sp1	Rg	dnmt3a
vandetanib	T	respiratory tract neoplasms
spink1	P	diabetes mellitus
f11	GG	serpind1
jun	E	spp1
non alcoholic fatty liver disease	ML	prtn3
lyz	P	van der woude syndrome
serpine1	Ra	mmp10
neoplasms	ML	magec1
app	GG	aldh4a1
ppp3cb	GG	mapk1
cat	Q	gstm1
dicer1	GG	ran
chlorambucil	T	amyloidosis
grik3	Ra	grik1
spp1	E	flt1
il17a	P	lyme disease
zolpidem	CC	nalbuphine
tbk1	Ra	irf3
capn5	GG	cast
topotecan	CC	vandetanib
stat3	K	sunitinib
ccl2	P	fibrosis
nicergoline	T	cerebrovascular disorders
il2rg	GG	pik3cg
hydroxyurea	T	eosinophilia
vitamin e	Pr	drug toxicity
cyclosporine	Sa	thrombosis
il7	P	fever
nicardipine	T	arthritis rheumatoid
testosterone	T	steroid metabolism inborn errors
sfrp5	Rg	bcl2
renal tubular transport inborn errors	X	adm
prmt5	B	tp53
ccl2	K	enoxaparin
pah	Iw	iron metabolism disorders
xpo1	Q	xpo1
slc29a2	GG	slc15a1
pten	I	genital neoplasms male
neoplasms neuroepithelial	ML	mertk
eef1a1	GG	rps7
prkcz	I	plcl1
muscular diseases	ML	hmgcr
flg	Ra	nod1
flucytosine	T	urinary bladder diseases
creatine	C	mental retardation x linked
itk	Q	cd4
neoplasms	ML	jak2
aqp9	GG	slc4a5
iars2	GG	rars2
neoplasms	ML	hnf1b
fut4	Rg	itga6
fut4	GG	b4galt1
hoxd13	I	syndactyly
cfh	Ra	abca1
prom1	B	ikzf1
cyp27a1	U	neoplasms
casp1	Q	slc18a1
rag1	Rg	rag2
kng1	GG	thbs1
il9	P	stroke
dyrk3	GG	tnk1
cyp3a4	GG	cyp7a1
ugt1a1	I	iron overload
tacstd2	Q	clu
mthfr	U	lymphoma non hodgkin
il10rb	GG	il15ra
camp	Iw	hypersensitivity
cat	U	genital neoplasms male
liver neoplasms	ML	map3k2
fibromyalgia	X	crh
methyldopa	Sa	pancreatitis
htt	E	atrx
hydrocortisone	E	mbp
bcl2	Q	cd19
lyz	Te	leukemia myeloid
leukopenia	ML	abcb1
propafenone	CC	fosamprenavir
crispld2	Q	myh9
tnfsf12	Te	kidney diseases
fabp1	GG	ptgs2
gmppb	GG	tsta3
uchl1	Rg	atxn3
clomipramine	T	intracranial embolism and thrombosis
adipoq	Te	overweight
wnt5a	Rg	wnt5b
hspa8	B	slc18a2
mef2c	Q	npy
slc18a2	GG	slc22a5
junb	B	ep300
cpn1	GG	f13b
cxcr4	P	urinary bladder diseases
adenoma islet cell	ML	slc16a1
il17a	P	psoriasis
blvrb	GG	tpi1
dopamine	J	purine pyrimidine metabolism inborn errors
ndufb7	GG	mrps16
fpr1	Ra	slc15a1
risedronate	T	arthritis rheumatoid
tec	Iw	snrpn
ca2	Iw	sarcoma
prkar1a	GG	nr0b2
tnfrsf1b	P	endometriosis
irbesartan	T	cardiomyopathy dilated
caffeine	Pr	urination disorders
foxc2	Rg	ctnnb1
cd14	Iw	ar
hmga1	B	insr
cdh1	Q	fhit
timp3	GG	ccne1
hypoglycemia	ML	slc2a1
tp53	Rg	kdr
docetaxel	B	tubb3
voriconazole	CC	rifapentine
fdxr	E	ddb2
ccl3	Ra	foxp3
esr1	Q	vdr
ggcx	Rg	f7
mog	Rg	hla a
pdgfrb	I	leucovorin
pnpla2	Q	pnpla2
myocardial ischemia	ML	park7
pethidine	Sa	death
ddit3	Rg	atf3
cyclosporine	T	pancreatitis
ipratropium bromide	CC	epinephrine
arthritis	ML	prg4
kras	Ra	tnf
spry2	GG	erbb4
hdac2	GG	hdac3
octreotide	T	sleep disorders intrinsic
cyp2a13	U	head and neck neoplasms
jag1	GG	aph1a
gss	GG	enoph1
mapk8	Ra	map3k2
ank1	GG	sptbn1
itgb1	E	sox9
methylprednisolone	CC	itraconazole
cntn2	E	cxcl12
pgf	P	pulmonary disease chronic obstructive
incontinentia pigmenti	Mp	dextromethorphan
cd9	Q	rnase3
grk5	GG	ctdp1
egfr	P	muscular atrophy
itgb4	Q	itgb1
apoh	P	hyperinsulinism
doxorubicin	Sa	cardiomyopathy dilated
grin2d	GG	grm8
ugt2b15	I	acetaminophen
megestrol acetate	T	genital neoplasms female
cocaine	Sa	analgesia
genital neoplasms female	ML	klk6
cux1	Rg	ncam1
adra1d	GG	vipr2
respiratory tract neoplasms	ML	samd9
arnt	GG	ca9
gapdh	GG	ywhae
slc3a1	GG	slc22a8
slc4a10	O	sodium bicarbonate
pvr	Iw	pc
intestinal neoplasms	ML	fdxr
cebpe	GG	myb
ugt1a6	GG	cyp26b1
tnf	E	pltp
moxifloxacin	T	neurobehavioral manifestations
tuba1b	GG	rps29
trichotillomania	Iw	trichotillomania
verapamil	CC	ketoconazole
txn	P	acute lung injury
gabapentin	T	neuromuscular manifestations
cdh1	Rg	hmgb1
cyth2	Rg	arf6
venlafaxine	CC	moclobemide
vegfa	Ra	ocln
rala	Rg	fhl2
pancreatic neoplasms	ML	fosl2
cxcl10	Iw	nin
csnk1d	GG	prkaca
grk5	P	inflammation
slc6a3	Ra	slc6a4
cav1	Q	hsp90aa1
rps6ka2	GG	map3k7
ouabain	C	carcinoma bronchogenic
fcgr2a	Ra	fcgr1a
tnfrsf13b	Rg	ccl2
anxa5	E	cftr
ms4a1	Q	foxp3
dexamethasone	Sa	major depressive disorder and accelerated response to antidepressant drug treatment
carbenicillin	Sa	leukopenia
arteriosclerosis	ML	scarb1
nfkb1	Ra	traf3ip2
lidocaine	B	ran
gars	GG	rars2
genital neoplasms female	ML	mmp9
anastrozole	T	liver cirrhosis
deferoxamine	Pr	urination disorders
nimodipine	CC	trametinib
amphetamine	E	slc6a2
cnr2	P	rhinitis
ca1	Q	ngf
bendroflumethiazide	CC	dihydrotachysterol
mpi	GG	msra
dexamethasone	E	pak3
snca	GG	mapk8ip1
raloxifene	I	cyp19a1
gzmb	Q	lck
topors	GG	setx
pnmt	Rg	npy
igf1	P	lysosomal storage diseases
mcm4	Q	chek1
tg	E	duox2
casr	I	plcb2
zuclopenthixol	N	cyp2d6
sema4a	E	il1b
tnf	Ra	lipe
gnaq	GG	myl2
lcn2	E	ccl2
tranexamic acid	Pr	blood coagulation disorders inherited
simvastatin	T	pain
shox	Q	sry
